" Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0
" Cholera due to Vibrio cholerae 01, biovar eltor",A00.1
" Cholera, unspecified A01 Typhoid and paratyphoid fevers",A00.9
 Typhoid fever,A01.0
" Typhoid fever, unspecified",A01.00
 Typhoid meningitis,A01.01
 Typhoid fever with heart involvement,A01.02
 Typhoid pneumonia,A01.03
 Typhoid arthritis,A01.04
 Typhoid fever with other complications A01.1 Paratyphoid fever A,A01.09
 Paratyphoid fever B,A01.2
 Paratyphoid fever C,A01.3
" Paratyphoid fever, unspecified",A01.4
 Other salmonella infections,A02
 Salmonella enteritis,A02.0
 Salmonella sepsis,A02.1
 Localized salmonella infections,A02.2
" Localized salmonella infection, unspecified",A02.20
 Salmonella meningitis,A02.21
 Salmonella pneumonia,A02.22
 Salmonella arthritis,A02.23
 Salmonella osteomyelitis,A02.24
 Salmonella pyelonephritis,A02.25
 Salmonella with other localized infection,A02.29
 Other specified salmonella infections,A02.8
" Salmonella infection, unspecified",A02.9
 Shigellosis,A03
 Shigellosis due to Shigella dysenteriae,A03.0
 Shigellosis due to Shigella flexneri,A03.1
 Shigellosis due to Shigella boydii,A03.2
 Shigellosis due to Shigella sonnei,A03.3
 Other shigellosis,A03.8
" Shigellosis, unspecified",A03.9
 Other,A04
 Enteropathogenic Escherichia coli infection,A04.0
 Enterotoxigenic Escherichia coli infection,A04.1
 Enteroinvasive Escherichia coli infection,A04.2
 Enterohemorrhagic Escherichia coli infection,A04.3
 Other intestinal Escherichia coli infections,A04.4
 Campylobacter enteritis,A04.5
 Enteritis due to Yersinia enterocolitica,A04.6
 Enterocolitis due to Clostridium difficile,A04.7
" Other specified bacterial intestinal infections A04.9 Bacterial intestinal infection, unspecified",A04.8
" Other bacterial foodborne intoxications, not elsewhere classified",A05
 Foodborne staphylococcal intoxication,A05.0
 Botulism food poisoning,A05.1
 Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2
 Foodborne Vibrio parahaemolyticus intoxication,A05.3
 Foodborne Bacillus cereus intoxication,A05.4
 Foodborne Vibrio vulnificus intoxication,A05.5
 Other specified bacterial foodborne intoxications,A05.8
" Bacterial foodborne intoxication, unspecified",A05.9
 Amebiasis,A06
 Acute amebic dysentery,A06.0
 Chronic intestinal amebiasis,A06.1
 Amebic nondysenteric colitis,A06.2
 Ameboma of intestine,A06.3
 Amebic liver abscess,A06.4
 Amebic lung abscess,A06.5
 Cutaneous amebiasis,A06.7
 Amebic infection of other sites,A06.8
 Amebic cystitis,A06.81
 Other amebic genitourinary infections,A06.82
 Other amebic infections,A06.89
" Amebiasis, unspecified",A06.9
 Balantidiasis,A07.0
 Giardiasis [lambliasis],A07.1
 Cryptosporidiosis,A07.2
 Isosporiasis,A07.3
 Cyclosporiasis,A07.4
 Other specified protozoal intestinal diseases,A07.8
" Protozoal intestinal disease, unspecified",A07.9
 Viral and other specified intestinal infections,A08
 Rotaviral enteritis,A08.0
 Acute gastroenteropathy due to Norwalk agent and other small round viruses,A08.1
 Acute gastroenteropathy due to Norwalk agent,A08.11
 Acute gastroenteropathy due to other small round viruses,A08.19
 Adenoviral enteritis,A08.2
 Other viral enteritis,A08.3
 Calicivirus enteritis,A08.31
 Astrovirus enteritis,A08.32
 Other viral enteritis,A08.39
" Viral intestinal infection, unspecified",A08.4
 Other specified intestinal infections,A08.8
" Infectious gastroenteritis and colitis, unspecified",A09
 Respiratory tuberculosis,A15
 Tuberculosis of lung,A15.0
 Tuberculosis of intrathoracic lymph nodes,A15.4
" Tuberculosis of larynx, trachea and bronchus",A15.5
 Tuberculous pleurisy,A15.6
 Primary respiratory tuberculosis,A15.7
 Other respiratory tuberculosis,A15.8
 Tuberculous meningitis,A17.0
 Meningeal tuberculoma,A17.1
 Other tuberculosis of nervous system,A17.8
 Tuberculoma of brain and spinal cord,A17.81
 Tuberculous meningoencephalitis,A17.82
 Tuberculous neuritis,A17.83
 Other tuberculosis of nervous system,A17.89
" Tuberculosis of nervous system, unspecified A18 Tuberculosis of other organs",A17.9
 Tuberculosis of bones and joints,A18.0
 Tuberculosis of spine,A18.01
 Tuberculous arthritis of other joints,A18.02
 Tuberculosis of other bones,A18.03
 Other musculoskeletal tuberculosis,A18.09
 Tuberculosis of genitourinary system,A18.1
